bblid
82063
106246
105767
120217
122528
88402
109521
122801
109735
131867
120562
105860
112332
116354
92193
99604
112694
106039
90077
126176
121407
89377
132657
109646
129720
102041
87346
87601
112249
106331
95460
104235
97994
117397
126554
85083
127417
127008
128154
105176
91962
125511
10582
98567
122522
87646
121001
93549
84688
127611
92211
131224
92927
97485
130687
95015
88770
97271
96659
85369
129354
81725
93856
106071
87563
99949
84354
106880
121476
97092
84761
114709
20809
